text,text_clean,auto_label
"Так ,что то не очень.Одно радует рукова  нормальные.А вот длина убки выше колен,а не до колена.И МНЕ КАЖЕТСЯ, ОНО ПОЛЕНЯЕТ ПОСЛЕ СТИРКИ.","так ,что то не очень.одно радует рукова  нормальные.а вот длина убки выше колен,а не до колена.и мне кажется, оно поленяет после стирки.",одежда
Прекрасное платье за свою цену! На рост 168 и 44 р-о М-ка села идеально.Длина оказалась до пола.Из минусов - синтетическая ткань юбки при активных танцах начинает электризоваться))),прекрасное платье за свою цену! на рост 168 и 44 р-о м-ка села идеально.длина оказалась до пола.из минусов - синтетическая ткань юбки при активных танцах начинает электризоваться))),одежда
Качество ужас...,качество ужас...,нет товара
"терпеливо ждала 4 месяца, но ничего так и не пришло","терпеливо ждала 4 месяца, но ничего так и не пришло",нет товара
"на 48 размер,  объем груди 96см., xxxl велико.","на 48 размер,  объем груди 96см., xxxl велико.",одежда
"Заказывала 3 розовые и 2 светло-розовые ,в итоге пришли 5 одинаковых  шапок !!!","заказывала 3 розовые и 2 светло-розовые ,в итоге пришли 5 одинаковых  шапок !!!",обувь
Все хорошо но она просвечиваеться более летний вариант,все хорошо но она просвечиваеться более летний вариант,одежда
"очень хорошая кофта хотя это скорее идёт как туника, заказ пришел быстро, заказала 11.11 получила 30.11","очень хорошая кофта хотя это скорее идёт как туника, заказ пришел быстро, заказала 11.11 получила 30.11",одежда
Пришло с браком,пришло с браком,нет товара
"Шло в Москву очень долго, доставка хреновая. Открыла спор, вроде деньги вернули. Но долго продлевали защиту несколько раз. Лучше не продлевайте - нет смысла ждать. Продавец вроде общительный. ","шло в москву очень долго, доставка хреновая. открыла спор, вроде деньги вернули. но долго продлевали защиту несколько раз. лучше не продлевайте - нет смысла ждать. продавец вроде общительный.",нет товара
"Красивый бордовый цвет, хорошая форма.Даже на моих маленьких параметрах груди смотрится хорошо (79-62-92),достаточно свободна. Доставка- недели две до Мск.Очень довольна!Рекомендую.","красивый бордовый цвет, хорошая форма.даже на моих маленьких параметрах груди смотрится хорошо (79-62-92),достаточно свободна. доставка- недели две до мск.очень довольна!рекомендую.",одежда
"качество хорошее, швы ровные, приятная ткань, не синтетика","качество хорошее, швы ровные, приятная ткань, не синтетика",одежда
С размером ошиблась. На российский 50 52 точно меньше надо брать чем 5 xl. Немного мешковато сел. А так вещь понравилась,с размером ошиблась. на российский 50 52 точно меньше надо брать чем 5 xl. немного мешковато сел. а так вещь понравилась,одежда
товар не пришел. и не отслеживался. деньги не вернули.,товар не пришел. и не отслеживался. деньги не вернули.,нет товара
"Качество отличное ,доставка до Башкирии 3 недели","качество отличное ,доставка до башкирии 3 недели",нет товара
"Прекрасные шорты! Отличное качество, сидят хорошо, быстрая доставка. Взяла s сели отлично не маломерят. Спасибо ! ","прекрасные шорты! отличное качество, сидят хорошо, быстрая доставка. взяла s сели отлично не маломерят. спасибо !",одежда
"Брюки хорошие, но написано в описании что они теплые, а по факту тонкие не утепленные. Очень разочарована этим обманом. Заказывать у этого продавца больше не буду.","брюки хорошие, но написано в описании что они теплые, а по факту тонкие не утепленные. очень разочарована этим обманом. заказывать у этого продавца больше не буду.",одежда
"Цвет не тот что заказывали , рубашка с браком, швы разошлись и рваная. В остальном все устраивает ","цвет не тот что заказывали , рубашка с браком, швы разошлись и рваная. в остальном все устраивает",одежда
все подошло . ткань не очень.,все подошло . ткань не очень.,обувь
"Платье огромного размера, пошив не фабричный, нет никаких  лейблов, края не обметаны, сама ткань не плохая,тяжёлая, тянется, возможно будут катышки, заказом осталась недовольна, за эти деньги на А
ли можно купить вещь лучше.","платье огромного размера, пошив не фабричный, нет никаких  лейблов, края не обметаны, сама ткань не плохая,тяжёлая, тянется, возможно будут катышки, заказом осталась недовольна, за эти деньги на али можно купить вещь лучше.",одежда
"Всем рекомендую,классный свитер","всем рекомендую,классный свитер",одежда
Отличная удобная кофточка,отличная удобная кофточка,одежда
"Х/б носочки,хорошее качество,пришли вовремя,дочь очень довольна.","х/б носочки,хорошее качество,пришли вовремя,дочь очень довольна.",обувь
"Ожидала другого от этого платья ,материал очень тонкий .Осталась не довольна покупкой .","ожидала другого от этого платья ,материал очень тонкий .осталась не довольна покупкой .",одежда
Очень маленькая. Размерная таблица не соответствует действительности. На ОГ 86см брала М.,очень маленькая. размерная таблица не соответствует действительности. на ог 86см брала м.,одежда
"Заказываю во второй раз. Качество так же на высоте, размер M подходит на бедра 93 см. Кружево тонкое и швы под одеждой не заметны. Спасибо большое!","заказываю во второй раз. качество так же на высоте, размер m подходит на бедра 93 см. кружево тонкое и швы под одеждой не заметны. спасибо большое!",одежда
Продавец прислал не тот свитер!! Я очень расстроена!!!,продавец прислал не тот свитер!! я очень расстроена!!!,одежда
Плохое качества это платье даже 300 руб не стоит (((,плохое качества это платье даже 300 руб не стоит (((,одежда
"Долго ждала посылку. Оказались велики, хоть и выглядят как колготки, но сваливаются при ходьбе ","долго ждала посылку. оказались велики, хоть и выглядят как колготки, но сваливаются при ходьбе",обувь
Жутко просвечивает. И вверх  и низ. Заказывала розовое. Фатин желтый. Я разочарована. Носить не буду.,жутко просвечивает. и вверх  и низ. заказывала розовое. фатин желтый. я разочарована. носить не буду.,обувь
"Товар доставили курьером на дом, костюм хороший, но на рост 170 брюки короткие. Вес 54 кг- размер М подошёл ","товар доставили курьером на дом, костюм хороший, но на рост 170 брюки короткие. вес 54 кг- размер м подошёл",одежда
"рисунок на вещи не совпадает, рукава широкие","рисунок на вещи не совпадает, рукава широкие",одежда
"Доставили очень быстро.  Качество отличное, выглядит маленьким, но хорошо тянется, по весу тяжелый, мягкий. На размер 46-48 взяла XL, подошёл. Рукава нормальные, не короткие. Очень теплый свитер.","доставили очень быстро.  качество отличное, выглядит маленьким, но хорошо тянется, по весу тяжелый, мягкий. на размер 46-48 взяла xl, подошёл. рукава нормальные, не короткие. очень теплый свитер.",одежда
"Синтетика сплошная, мало, брала размер L на рост 158, грудь 90, талия 70, бедра 98. Обтянуто как любительскую колбасу. Жаль деньги, буду как то расшивать, но синтетику не очень хочется носить...","синтетика сплошная, мало, брала размер l на рост 158, грудь 90, талия 70, бедра 98. обтянуто как любительскую колбасу. жаль деньги, буду как то расшивать, но синтетику не очень хочется носить...",одежда
Отлично! ,отлично!,нет товара
"доставка быстрая, соответствует описанию и картинке. на свой 44 размер брала м. платье короткое, резинка туговатая, но на одно плечо сидит хорошо. оценку снижают за ткань. не приятная, скользкая ...","доставка быстрая, соответствует описанию и картинке. на свой 44 размер брала м. платье короткое, резинка туговатая, но на одно плечо сидит хорошо. оценку снижают за ткань. не приятная, скользкая ...",одежда
заказ шел долго. супер эффекта не нашла. стрелки пошли после первой носки! таких денег не стоят однозначно.,заказ шел долго. супер эффекта не нашла. стрелки пошли после первой носки! таких денег не стоят однозначно.,нет товара
"Топ короткий. Очень короткий. Почитала отзывы, специально взяла на размер больше, но напрасно. Так что имейте в виду.","топ короткий. очень короткий. почитала отзывы, специально взяла на размер больше, но напрасно. так что имейте в виду.",одежда
"туника пришла без размерная, рукава короткие с ужасным запахом","туника пришла без размерная, рукава короткие с ужасным запахом",одежда
"Не пришли,спор длился недели 2-3..","не пришли,спор длился недели 2-3..",нет товара
"Платье на фото бежевого цвета, в реальности оно пудрового, почти розового цвета. В принципе, платье бомба. Удовлетворил и размер и материал. Но цвет не то, что на картинке. Печально.","платье на фото бежевого цвета, в реальности оно пудрового, почти розового цвета. в принципе, платье бомба. удовлетворил и размер и материал. но цвет не то, что на картинке. печально.",одежда
"Хорошая водолазка, но очень тонкая, меня сильно обтянула! на параметры 93-60  хотелось бы на размер больше!","хорошая водолазка, но очень тонкая, меня сильно обтянула! на параметры 93-60  хотелось бы на размер больше!",одежда
"Товар не пришел. Деньги вернули. Но продавец хороший и милый. Просто, может быть, мне не повезло.","товар не пришел. деньги вернули. но продавец хороший и милый. просто, может быть, мне не повезло.",нет товара
"Товар так и не пришёл. Вместо блузки прислали резиновых опарышей (!!!) ржали долго) правда продавец обещал отправить другим заказом, но пока глухо. За опарвшей отдельное спасибо.","товар так и не пришёл. вместо блузки прислали резиновых опарышей (!!!) ржали долго) правда продавец обещал отправить другим заказом, но пока глухо. за опарвшей отдельное спасибо.",нет товара
"Трусы не плохие ,но  две шт. из пяти не соответствуют заказанным (замена расцветки на худшию),одни из них большего размера,мне велики ,остальные на о.б. 98 сели хорошо.","трусы не плохие ,но  две шт. из пяти не соответствуют заказанным (замена расцветки на худшию),одни из них большего размера,мне велики ,остальные на о.б. 98 сели хорошо.",одежда
Не по размеру и плохо пошито,не по размеру и плохо пошито,одежда
"На мой рост(157см)не подошел,слишком короткие.Сшито очень плохо.Лосины не стоят таких цен","на мой рост(157см)не подошел,слишком короткие.сшито очень плохо.лосины не стоят таких цен",одежда
"До Хабаровского края дошла за месяц, трек отслеживался, качество отличное, очень понравилась, правда электризуется, подошел размер XXL   на рос.50","до хабаровского края дошла за месяц, трек отслеживался, качество отличное, очень понравилась, правда электризуется, подошел размер xxl   на рос.50",одежда
"Отличные трусики , буду заказывать еще. На размер 46 брала XL. Доставка быстрая, трек отслеживался.","отличные трусики , буду заказывать еще. на размер 46 брала xl. доставка быстрая, трек отслеживался.",одежда
Спасибо все подошло,спасибо все подошло,обувь
наверно хорошие а так не получили,наверно хорошие а так не получили,нет товара
качество на троечку,качество на троечку,обувь
Жаль，товар так и не получила.Открыла спор，вернули деньги.Потерялся наверное на просторах нашей страны.,жаль，товар так и не получила.открыла спор，вернули деньги.потерялся наверное на просторах нашей страны.,нет товара
"Заказ шел 2 месяца. Размер подошел (мой 46-48 заказала XL). Верхние карманы оказались фальшивыми, непонятно, зачем городить молнию было, тем более она не ровно вшита. Нижние карманы маленькие.","заказ шел 2 месяца. размер подошел (мой 46-48 заказала xl). верхние карманы оказались фальшивыми, непонятно, зачем городить молнию было, тем более она не ровно вшита. нижние карманы маленькие.",одежда
хорошая теплая кофта. все как в описании,хорошая теплая кофта. все как в описании,одежда
"Не стоит заплаченных денег((( ткань плохая, полоска чёрная на самом видном месте","не стоит заплаченных денег((( ткань плохая, полоска чёрная на самом видном месте",одежда
мало( xxxl подошел только на 42 размер(,мало( xxxl подошел только на 42 размер(,обувь
Товар не пришёл вернули деньги,товар не пришёл вернули деньги,нет товара
"Материал как у мед.халата...просвечивает, выглядит дешево. Размер не соответствует. Подклад где-то есть, а где-то нет... торчат нитки...900р это не стоит.  Я разочарована...","материал как у мед.халата...просвечивает, выглядит дешево. размер не соответствует. подклад где-то есть, а где-то нет... торчат нитки...900р это не стоит.  я разочарована...",одежда
С размером не угадал. А так всё как на картинке. Спасибо продавцу. Рекомендую!,с размером не угадал. а так всё как на картинке. спасибо продавцу. рекомендую!,обувь
Не подошёл размер ,не подошёл размер,обувь
три месяца жду не получила блузку. жалко конечно,три месяца жду не получила блузку. жалко конечно,одежда
"От кофточки ожидала большего..судя по отзывам. оказалась велика, цвет не соответствует фото. Не очень приятный запах, тут же отправила в стирку.","от кофточки ожидала большего..судя по отзывам. оказалась велика, цвет не соответствует фото. не очень приятный запах, тут же отправила в стирку.",одежда
продавец отправил товар на другой адрес!! обман,продавец отправил товар на другой адрес!! обман,нет товара
